Sample_1,Sample_2,bNTI,RC_BC,Mechanism,Pair_A,Pair_B,module_bray,Zone_1,Temp_1,Lon_1,Zone_2,Temp_2,Lon_2,module_similarity,temp_diff,lon_diff,geographic_km,zone_pair,temp_bin
eDNA27,eDNA4,-1.929662580091,1,Dispersal Limitation,eDNA27,eDNA4,0.5303710587014971,ANE,20.502670370042324,-11.687733,ANW,27.20014037936926,-74.85995,0.46962894129850286,6.697470009326935,63.172216999999996,5773.1391210143365,ANE-ANW,"[6,8)"
eDNA28,eDNA4,-1.82956149145201,1,Dispersal Limitation,eDNA28,eDNA4,0.5368738389403985,ANE,21.50245673954487,-7.874533,ANW,27.20014037936926,-74.85995,0.46312616105960147,5.69768363982439,66.985417,6109.298385122795,ANE-ANW,"[4,6)"
eDNA3,eDNA4,-4.30867110854336,0.37,Homogeneous Selection,eDNA3,eDNA4,0.0743636743723761,ANW,26.101474039256573,-75.508383,ANW,27.20014037936926,-74.85995,0.9256363256276239,1.0986663401126862,0.6484329999999972,85.54951479199698,ANW-ANW,"[1,2)"
eDNA1,eDNA6,-3.7358411726603,1,Homogeneous Selection,eDNA1,eDNA6,0.21492668483811336,ANW,26.81560716032982,-77.936917,ANW,24.7383953332901,-69.329683,0.7850733151618866,2.0772118270397186,8.607233999999991,869.0880432672395,ANW-ANW,"[2,4)"
eDNA18,eDNA6,-2.32472929484582,0.83,Homogeneous Selection,eDNA18,eDNA6,0.6078016954258763,ANC,21.02490310370922,-34.595667,ANW,24.7383953332901,-69.329683,0.39219830457412375,3.713492229580879,34.734016000000004,3228.3203643963157,ANC-ANW,"[2,4)"
eDNA19,eDNA6,-2.5791122822446,1,Homogeneous Selection,eDNA19,eDNA6,0.5996621501818039,ANC,20.126926481723785,-32.055683,ANW,24.7383953332901,-69.329683,0.4003378498181961,4.611468851566315,37.274,3451.6156793216564,ANC-ANW,"[4,6)"
eDNA25,eDNA6,-1.76321278753799,0.98,Dispersal Limitation,eDNA25,eDNA6,0.5627015188873778,ANE,19.737266153097153,-17.887783,ANW,24.7383953332901,-69.329683,0.43729848111262215,5.001129180192947,51.441900000000004,4724.9908141509595,ANE-ANW,"[4,6)"
eDNA26,eDNA6,-2.15877323367734,0.75,Homogeneous Selection,eDNA26,eDNA6,0.5480002364518741,ANE,20.25656910985708,-14.5402,ANW,24.7383953332901,-69.329683,0.4519997635481259,4.481826223433021,54.789483000000004,5016.553950732773,ANE-ANW,"[4,6)"
eDNA27,eDNA6,-1.99009188721624,1,Dispersal Limitation,eDNA27,eDNA6,0.5117264218405785,ANE,20.502670370042324,-11.687733,ANW,24.7383953332901,-69.329683,0.4882735781594215,4.235724963247776,57.64195,5264.98353624339,ANE-ANW,"[4,6)"
eDNA28,eDNA6,-2.00162044467661,1,Homogeneous Selection,eDNA28,eDNA6,0.5185330349807802,ANE,21.50245673954487,-7.874533,ANW,24.7383953332901,-69.329683,0.4814669650192198,3.2359385937452316,61.45515,5603.076132448987,ANE-ANW,"[2,4)"
eDNA3,eDNA6,-2.33587822928246,0.65,Homogeneous Selection,eDNA3,eDNA6,0.20004572664586548,ANW,26.101474039256573,-75.508383,ANW,24.7383953332901,-69.329683,0.7999542733541345,1.3630787059664726,6.178699999999992,600.7225251101054,ANW-ANW,"[1,2)"
eDNA4,eDNA6,-3.75235271216313,0.85,Homogeneous Selection,eDNA4,eDNA6,0.13264405834738283,ANW,27.20014037936926,-74.85995,ANW,24.7383953332901,-69.329683,0.8673559416526172,2.461745046079159,5.530266999999995,528.7750470140396,ANW-ANW,"[2,4)"
eDNA1,eDNA7,-2.23381980910041,1,Homogeneous Selection,eDNA1,eDNA7,0.40823725334171085,ANW,26.81560716032982,-77.936917,ANW,24.250587478280067,-67.287833,0.5917627466582891,2.5650196820497513,10.649083999999988,1058.195945192052,ANW-ANW,"[2,4)"
eDNA18,eDNA7,-2.85326177164069,0.89,Homogeneous Selection,eDNA18,eDNA7,0.5881525188360879,ANC,21.02490310370922,-34.595667,ANW,24.250587478280067,-67.287833,0.4118474811639121,3.2256843745708466,32.69216600000001,3041.715257805303,ANC-ANW,"[2,4)"
eDNA19,eDNA7,-2.85637894662269,0.99,Homogeneous Selection,eDNA19,eDNA7,0.5793794626057042,ANC,20.126926481723785,-32.055683,ANW,24.250587478280067,-67.287833,0.42062053739429583,4.123660996556282,35.232150000000004,3267.4676251806513,ANC-ANW,"[4,6)"
eDNA25,eDNA7,-2.29532059967869,0.94,Homogeneous Selection,eDNA25,eDNA7,0.5452163610785562,ANE,19.737266153097153,-17.887783,ANW,24.250587478280067,-67.287833,0.4547836389214438,4.513321325182915,49.40005000000001,4540.745492647285,ANE-ANW,"[4,6)"
eDNA26,eDNA7,-2.37974953249464,0.9,Homogeneous Selection,eDNA26,eDNA7,0.5469087080846567,ANE,20.25656910985708,-14.5402,ANW,24.250587478280067,-67.287833,0.45309129191534325,3.9940183684229886,52.74763300000001,4833.403936853191,ANE-ANW,"[2,4)"
eDNA27,eDNA7,-2.14100272953173,1,Homogeneous Selection,eDNA27,eDNA7,0.5115092185592442,ANE,20.502670370042324,-11.687733,ANW,24.250587478280067,-67.287833,0.48849078144075575,3.7479171082377434,55.600100000000005,5082.702686597132,ANE-ANW,"[2,4)"
eDNA28,eDNA7,-2.39462863752456,0.99,Homogeneous Selection,eDNA28,eDNA7,0.5181509753379436,ANE,21.50245673954487,-7.874533,ANW,24.250587478280067,-67.287833,0.48184902466205637,2.748130738735199,59.41330000000001,5421.579805638604,ANE-ANW,"[2,4)"
eDNA3,eDNA7,-2.53720414681349,-0.6,Homogeneous Selection,eDNA3,eDNA7,0.07510007939863782,ANW,26.101474039256573,-75.508383,ANW,24.250587478280067,-67.287833,0.9248999206013622,1.8508865609765053,8.220549999999989,792.887806148248,ANW-ANW,"[1,2)"
eDNA4,eDNA7,-2.58256873874637,-0.3,Homogeneous Selection,eDNA4,eDNA7,0.04378862872961666,ANW,27.20014037936926,-74.85995,ANW,24.250587478280067,-67.287833,0.9562113712703834,2.9495529010891914,7.5721169999999915,721.9813691972007,ANW-ANW,"[2,4)"
eDNA6,eDNA7,-4.27674607656944,-0.12,Homogeneous Selection,eDNA6,eDNA7,0.17803505045503448,ANW,24.7383953332901,-69.329683,ANW,24.250587478280067,-67.287833,0.8219649495449655,0.48780785501003265,2.0418499999999966,193.34967012397314,ANW-ANW,"[0,1)"
eDNA1,eDNA9,-2.70693367805241,1,Homogeneous Selection,eDNA1,eDNA9,0.3836664571187789,ANW,26.81560716032982,-77.936917,ANW,23.814783163368705,-62.128333,0.6163335428812211,3.0008239969611132,15.808583999999996,1541.9569905427493,ANW-ANW,"[2,4)"
eDNA18,eDNA9,-4.3780148314266,0.76,Homogeneous Selection,eDNA18,eDNA9,0.5677088416661028,ANC,21.02490310370922,-34.595667,ANW,23.814783163368705,-62.128333,0.4322911583338972,2.7898800596594846,27.532666,2570.1365739278776,ANC-ANW,"[2,4)"
eDNA19,eDNA9,-4.1864058279619,0.99,Homogeneous Selection,eDNA19,eDNA9,0.5572022848924076,ANC,20.126926481723785,-32.055683,ANW,23.814783163368705,-62.128333,0.44279771510759236,3.68785668164492,30.072649999999996,2802.274578453844,ANC-ANW,"[2,4)"
eDNA25,eDNA9,-4.01266453162756,0.93,Homogeneous Selection,eDNA25,eDNA9,0.5225875967282001,ANE,19.737266153097153,-17.887783,ANW,23.814783163368705,-62.128333,0.4774124032717999,4.077517010271553,44.24055,4073.7356774557843,ANE-ANW,"[4,6)"
