Module,Rank,Taxon,ASV_count,Degree_sum,Mean_relative_abundance_pct_sum,Percent_nodes_within_module,Percent_degree_within_module,Percent_abundance_within_module
2,Family,Flavobacteriaceae,17,433,1.8319536452687177,14.52991452991453,15.458764726883256,8.171190336007173
2,Family,SAR86 clade,14,410,1.8235851446029803,11.965811965811966,14.637629418064977,8.133863730094767
2,Family,Puniceicoccaceae,5,104,1.6235734407141822,4.273504273504273,3.7129596572652623,7.241737607730603
2,Family,Clade I,6,139,1.6059976175233928,5.128205128205129,4.9625133880756875,7.163342940390162
2,Family,SAR116 clade,9,232,1.1670295825790897,7.6923076923076925,8.282756158514816,5.205383264818344
2,Family,Clade IV,1,42,0.9724492789066236,0.8547008547008547,1.4994644769725098,4.337483194829085
2,Family,Rhodobacteraceae,4,114,0.46894640358145956,3.4188034188034186,4.069975008925383,2.091674279502892
2,Family,Phycisphaeraceae,3,35,0.3863939562990238,2.5641025641025643,1.2495537308104248,1.7234598537775978
2,Family,Halieaceae,2,20,0.26772705812506675,1.7094017094017093,0.7140307033202428,1.1941616294108162
2,Family,Nannocystaceae,2,61,0.2269681697325382,1.7094017094017093,2.1777936451267403,1.0123619229610543
2,Family,Balneolaceae,1,29,0.1648211707451883,0.8547008547008547,1.035344519814352,0.73516333835233
2,Family,Unclassified family,9,159,0.15518011034909818,7.6923076923076925,5.67654409139593,0.6921606457127806
2,Family,Ectothiorhodospiraceae,1,32,0.10079338746372954,0.8547008547008547,1.1424491253123885,0.44957576066628285
2,Family,Parvibaculaceae,1,38,0.0987282384540682,0.8547008547008547,1.3566583363084612,0.4403644328176001
2,Family,Porticoccaceae,2,68,0.07342779725783134,1.7094017094017093,2.427704391288825,0.32751511420447343
2,Family,KI89A clade,3,56,0.06141655280069144,2.5641025641025643,1.9992859692966798,0.27394052464808494
2,Family,Clade II,4,110,0.05660604997627568,3.4188034188034186,3.9271688682613353,0.2524839041207486
2,Family,S25-593,1,38,0.053182430986504145,0.8547008547008547,1.3566583363084612,0.23721329807913766
2,Family,Kiritimatiellaceae,2,39,0.05140528320349925,1.7094017094017093,1.3923598714744734,0.22928656214471604
2,Family,Actinomarinaceae,1,28,0.0511489070662086,0.8547008547008547,0.9996429846483399,0.228143029817453
2,Family,Litoricolaceae,2,32,0.050099614488943,1.7094017094017093,1.1424491253123885,0.2234627971111614
2,Family,PS1 clade,1,46,0.04595760631694715,0.8547008547008547,1.6422706176365585,0.20498790980487766
2,Family,Pseudoalteromonadaceae,1,12,0.040320096062204734,0.8547008547008547,0.42841842199214564,0.1798425304817368
2,Family,Bacteriovoracaceae,2,23,0.02328179195132509,1.7094017094017093,0.8211353088182792,0.1038453969012366
2,Family,MWH-UniP1 aquatic group,1,27,0.016835681646122213,0.8547008547008547,0.9639414494823277,0.07509336249974177
2,Family,Clade III,1,45,0.013105111129826378,0.8547008547008547,1.6065690824705463,0.058453639202551894
2,Family,Cyclobacteriaceae,1,25,0.011907895619102403,0.8547008547008547,0.8925383791503034,0.05311361554168536
2,Family,Aerococcaceae,1,24,0.01185565537748895,0.8547008547008547,0.8568368439842913,0.05288060475643707
2,Family,Thiotrichaceae,1,13,0.011846295463691491,0.8547008547008547,0.4641199571581578,0.05283885608153737
2,Family,Tenderiaceae,1,17,0.011542735350315516,0.8547008547008547,0.6069260978222063,0.05148486578204419
2,Family,NS9 marine group,1,20,0.010086624457719648,0.8547008547008547,0.7140307033202428,0.04499007303198589
2,Family,Pseudohongiellaceae,1,11,0.009889002077368272,0.8547008547008547,0.39271688682613354,0.04410860417567701
2,Family,Moraxellaceae,1,8,0.006090771876552589,0.8547008547008547,0.28561228132809713,0.027167093678950878
2,Family,NS7 marine group,1,16,0.004475912695008042,0.8547008547008547,0.5712245626561943,0.019964224887850147
2,Family,Diplorickettsiaceae,1,5,0.00271146531850721,0.8547008547008547,0.1785076758300607,0.012094137460424016
3,Family,Alteromonadaceae,2,27,2.864456220892585,3.278688524590164,1.7670157068062826,35.15287079160495
3,Family,Flavobacteriaceae,10,253,1.4478337244750938,16.39344262295082,16.55759162303665,17.767948929707064
3,Family,Marinobacteraceae,3,122,0.9736169591882278,4.918032786885246,7.984293193717278,11.948317072269374
3,Family,Kordiimonadaceae,1,46,0.6090050309912449,1.639344262295082,3.0104712041884816,7.473765879096463
3,Family,Sphingomonadaceae,6,181,0.5220620056934436,9.836065573770492,11.845549738219896,6.406793058135532
3,Family,Hyphomonadaceae,2,63,0.2972839740307989,3.278688524590164,4.12303664921466,3.6482963332786085
3,Family,Rhodobacteraceae,6,158,0.27692923185679164,9.836065573770492,10.340314136125654,3.3985010609960575
3,Family,Phycisphaeraceae,3,98,0.2052890173276962,4.918032786885246,6.4136125654450264,2.5193257444190724
3,Family,Unclassified family,8,137,0.20347952914735773,13.114754098360656,8.965968586387435,2.497119538669294
3,Family,Prolixibacteraceae,1,52,0.1302931084907648,1.639344262295082,3.4031413612565444,1.598969037964632
3,Family,Alcanivoracaceae,1,24,0.12222440722464585,1.639344262295082,1.5706806282722514,1.49994919224482
3,Family,Gimesiaceae,2,53,0.08865078817520504,3.278688524590164,3.468586387434555,1.0879306444159418
3,Family,S25-593,1,9,0.08036753914281368,1.639344262295082,0.5890052356020943,0.9862778487311795
3,Family,Moraxellaceae,1,25,0.06891163358667789,1.639344262295082,1.6361256544502618,0.8456899197279621
3,Family,Saccharospirillaceae,1,58,0.04727041516796731,1.639344262295082,3.7958115183246073,0.5801068923815784
3,Family,Halieaceae,1,23,0.041802197676454586,1.639344262295082,1.5052356020942408,0.5130004232592671
3,Family,Parvibaculaceae,1,16,0.0318757215218446,1.639344262295082,1.0471204188481675,0.391181792856105
3,Family,KI89A clade,1,17,0.031663116069606825,1.639344262295082,1.112565445026178,0.3885726791480322
3,Family,Pirellulaceae,2,31,0.023955300530724664,3.278688524590164,2.0287958115183247,0.29398165633972445
3,Family,Demequinaceae,1,19,0.01695797022512252,1.639344262295082,1.243455497382199,0.20810977380756068
3,Family,Thalassospiraceae,1,27,0.01490120029424548,1.639344262295082,1.7670157068062826,0.18286890362046138
3,Family,Colwelliaceae,1,21,0.014329926817925609,1.639344262295082,1.37434554973822,0.17585818285842936
3,Family,Isosphaeraceae,1,7,0.010975333380029576,1.639344262295082,0.4581151832460733,0.13469030295835557
3,Family,Cyclobacteriaceae,1,21,0.009923918592835913,1.639344262295082,1.37434554973822,0.12178724376931181
3,Family,Balneolaceae,1,13,0.005307031493289358,1.639344262295082,0.8507853403141361,0.06512837969380676
3,Family,Unknown Family,1,13,0.005277313763933626,1.639344262295082,0.8507853403141361,0.06476368097973936
3,Family,Clade III,1,14,0.003927206246117495,1.639344262295082,0.9162303664921466,0.04819503706666324
4,Family,AEGEAN-169 marine group,10,43,1.4353218109219414,8.064516129032258,10.023310023310023,44.07581436965973
4,Family,Pseudoalteromonadaceae,1,3,0.4617207562875502,0.8064516129032258,0.6993006993006993,14.17850560751753
4,Family,SAR116 clade,10,35,0.18165415487582592,8.064516129032258,8.158508158508159,5.57822973834803
4,Family,SAR86 clade,7,30,0.1557234677794208,5.645161290322581,6.993006993006993,4.78195106255423
4,Family,Alteromonadaceae,4,23,0.12759849597325118,3.225806451612903,5.361305361305361,3.918290364968647
4,Family,Unclassified family,16,34,0.1032643909245672,12.903225806451612,7.925407925407925,3.1710394775257305
4,Family,Flavobacteriaceae,9,20,0.09143233588853976,7.258064516129032,4.662004662004662,2.807701125519105
4,Family,NS9 marine group,5,24,0.07487869923002394,4.032258064516129,5.594405594405594,2.2993726022906533
4,Family,Halieaceae,4,21,0.05839897463956401,3.225806451612903,4.895104895104895,1.7933137683865885
4,Family,NS7 marine group,2,13,0.05588906755874511,1.6129032258064515,3.0303030303030303,1.7162396253355536
4,Family,Clade I,3,6,0.05352307029430664,2.4193548387096775,1.3986013986013985,1.6435846601333393
4,Family,Cellvibrionaceae,3,11,0.031454214657872515,2.4193548387096775,2.5641025641025643,0.9658949762028073
4,Family,Coxiellaceae,1,9,0.031160491558958062,0.8064516129032258,2.097902097902098,0.9568753370631228
4,Family,Puniceicoccaceae,2,12,0.031041435175998264,1.6129032258064515,2.797202797202797,0.9532193576200955
4,Family,S25-593,1,3,0.028259166931120204,0.8064516129032258,0.6993006993006993,0.8677815570135015
4,Family,Microcystaceae,2,8,0.02665152490161362,1.6129032258064515,1.8648018648018647,0.8184141391102778
4,Family,Balneolaceae,2,12,0.022440959435078137,1.6129032258064515,2.797202797202797,0.6891162349872209
4,Family,Ectothiorhodospiraceae,3,3,0.020998910228233962,2.4193548387096775,0.6993006993006993,0.6448338359676218
4,Family,Bacteriovoracaceae,2,17,0.020793214704129197,1.6129032258064515,3.9627039627039626,0.6385173446636346
4,Family,Porticoccaceae,3,10,0.020354084541262647,2.4193548387096775,2.331002331002331,0.6250325502465609
4,Family,Phycisphaeraceae,1,2,0.018704995057712018,0.8064516129032258,0.4662004662004662,0.5743923653048659
4,Family,Thiotrichaceae,2,5,0.01699801536292512,1.6129032258064515,1.1655011655011656,0.5219744896844296
4,Family,Clade II,1,1,0.01621541877022952,0.8064516129032258,0.2331002331002331,0.49794253957853435
4,Family,Idiomarinaceae,1,4,0.014634978436360274,0.8064516129032258,0.9324009324009324,0.44941043043905143
4,Family,Cyanobiaceae,2,2,0.012686023743000034,1.6129032258064515,0.4662004662004662,0.38956199462085234
4,Family,Cyclobacteriaceae,1,8,0.01088408485220688,0.8064516129032258,1.8648018648018647,0.3342281151718562
4,Family,Microtrichaceae,1,11,0.009517626388230753,0.8064516129032258,2.5641025641025643,0.29226695416687115
4,Family,Gimesiaceae,2,5,0.009075024962098898,1.6129032258064515,1.1655011655011656,0.2786755643130489
4,Family,Stappiaceae,2,4,0.008741290550278105,1.6129032258064515,0.9324009324009324,0.2684272591091222
4,Family,Comamonadaceae,1,3,0.00873851069399464,0.8064516129032258,0.6993006993006993,0.2683418953749463
4,Family,37-13,1,4,0.00870967709729158,0.8064516129032258,0.9324009324009324,0.2674564742476262
4,Family,Nisaeaceae,1,2,0.008296740516904022,0.8064516129032258,0.4662004662004662,0.2547760314889995
4,Family,Xanthomonadaceae,1,4,0.008055801132663827,0.8064516129032258,0.9324009324009324,0.24737727290169031
4,Family,Spongiibacteraceae,1,2,0.007260622940578518,0.8064516129032258,0.4662004662004662,0.22295896746073732
4,Family,Hydrogenedensaceae,1,5,0.006933234667206983,0.8064516129032258,1.1655011655011656,0.21290553926496672
4,Family,Isosphaeraceae,1,4,0.006520774340689597,0.8064516129032258,0.9324009324009324,0.20023972129432469
4,Family,OM182 clade,1,2,0.006298568920184348,0.8064516129032258,0.4662004662004662,0.1934162446414961
4,Family,Schlesneriaceae,1,3,0.005483551171479292,0.8064516129032258,0.6993006993006993,0.16838870675657533
4,Family,Pedosphaeraceae,1,2,0.005037056164977611,0.8064516129032258,0.4662004662004662,0.15467775296642325
4,Family,Micrococcaceae,1,1,0.004811889491520764,0.8064516129032258,0.2331002331002331,0.14776334225657475
4,Family,PS1 clade,1,2,0.0047390798061039355,0.8064516129032258,0.4662004662004662,0.1455275048615559
4,Family,Pirellulaceae,1,1,0.004295628087482688,0.8064516129032258,0.2331002331002331,0.13191000425428642
4,Family,Bdellovibrionaceae,1,6,0.004135853387482101,0.8064516129032258,1.3986013986013985,0.12700364808760173
4,Family,Marinifilaceae,1,1,0.0038512527680879273,0.8064516129032258,0.2331002331002331,0.1182641417452223
4,Family,Vibrionaceae,1,1,0.003308779533024239,0.8064516129032258,0.2331002331002331,0.10160589170872493
4,Family,Leptotrichiaceae,1,1,0.002817896342702989,0.8064516129032258,0.2331002331002331,0.08653186704808916
4,Family,Weeksellaceae,1,2,0.0027079515271902148,0.8064516129032258,0.4662004662004662,0.08315568531478512
4,Family,Rickettsiaceae,1,2,0.0020160801187025863,0.8064516129032258,0.4662004662004662,0.061909721144152066
4,Family,Legionellaceae,1,1,0.0014857203724165894,0.8064516129032258,0.2331002331002331,0.045623451717627814
4,Family,Sphingomonadaceae,1,1,9.625739226692174e-4,0.8064516129032258,0.2331002331002331,0.02955868796098921
1,Genus,Unclassified genus,72,2331,29.971513337440893,46.753246753246756,48.66388308977035,48.7403390934381
1,Genus,Clade Ia,10,254,13.131657272882471,6.4935064935064934,5.302713987473904,21.354992026363725
1,Genus,Prochlorococcus MIT9313,7,376,11.498155936838007,4.545454545454546,7.849686847599165,18.698555958821814
1,Genus,Clade Ib,4,55,2.1206864866397854,2.5974025974025974,1.1482254697286012,3.448707354412176
1,Genus,Halomonas,3,50,1.5633352636385762,1.948051948051948,1.0438413361169103,2.542330445866627
1,Genus,Synechococcus CC9902,2,95,0.7354222437730705,1.2987012987012987,1.9832985386221293,1.1959599481944991
1,Genus,Candidatus Actinomarina,3,69,0.36342364041882624,1.948051948051948,1.4405010438413361,0.5910075767331193
1,Genus,SAR92 clade,3,82,0.32141397622552187,1.948051948051948,1.7118997912317329,0.5226905299784174
1,Genus,NS4 marine group,5,195,0.2767457085253169,3.2467532467532467,4.07098121085595,0.4500500032918743
1,Genus,NS5 marine group,5,200,0.19454728086932183,3.2467532467532467,4.175365344467641,0.31637709889782734
1,Genus,OM60(NOR5) clade,2,58,0.1795150554206073,1.2987012987012987,1.210855949895616,0.291931360791434
1,Genus,Formosa,1,67,0.16393610108602438,0.6493506493506493,1.3987473903966596,0.2665965200565085
1,Genus,MB11C04 marine group,3,112,0.14502564194510487,1.948051948051948,2.338204592901879,0.23584391238655755
1,Genus,OM75 clade,1,50,0.11988948201555535,0.6493506493506493,1.0438413361169103,0.19496693214603483
1,Genus,Candidatus Puniceispirillum,2,65,0.1063654754805845,1.2987012987012987,1.3569937369519833,0.17297389305604957
1,Genus,Ascidiaceihabitans,2,104,0.08738407811862675,1.2987012987012987,2.1711899791231732,0.14210592407920825
1,Genus,OM43 clade,1,43,0.05864851880559405,0.6493506493506493,0.8977035490605428,0.09537552080633817
1,Genus,NS2b marine group,2,81,0.04547772646510195,1.2987012987012987,1.6910229645093946,0.07395688646587896
1,Genus,Roseibacillus,1,62,0.045132316695494924,0.6493506493506493,1.2943632567849688,0.07339517344500851
1,Genus,Magnetospira,1,7,0.0432955577257583,0.6493506493506493,0.14613778705636743,0.07040819530980565
1,Genus,Thalassospira,1,18,0.03307231515315497,0.6493506493506493,0.3757828810020877,0.05378293171323263
1,Genus,Coxiella,3,59,0.032063881538247054,1.948051948051948,1.231732776617954,0.0521429946239555
1,Genus,Agaribacterium,1,17,0.03145957315917175,0.6493506493506493,0.35490605427974947,0.051160254947732964
