Sample_1,Sample_2,bNTI,RC_BC,Mechanism,Pair_A,Pair_B,module_bray,Zone_1,Temp_1,Lon_1,Zone_2,Temp_2,Lon_2,module_similarity,temp_diff,lon_diff,zone_pair,temp_bin,pair_key,back_ab,back_ba,fwd_ab,fwd_ba,bmin_ab,bmin_ba,fmin_ab,fmin_ba,bi_connectivity_mean,bi_connectivity_max,bi_connected,bi_min_travel_days,directed_link_count,tina_dist,pina_dist,bray,bray_similarity,tina_similarity
eDNA26,eDNA6,-2.15877323367734,0.75,Homogeneous Selection,eDNA26,eDNA6,0.5480002364518741,ANE,20.25656910985708,-14.5402,ANW,24.7383953332901,-69.329683,0.4519997635481259,4.481826223433021,54.789483,ANE-ANW,"[4,6)",eDNA26__eDNA6,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.264662423820476,8.5838674936111e-4,0.65530303030303,0.34469696969696995,0.735337576179524
eDNA27,eDNA6,-1.99009188721624,1,Dispersal Limitation,eDNA27,eDNA6,0.5117264218405785,ANE,20.502670370042324,-11.687733,ANW,24.7383953332901,-69.329683,0.4882735781594215,4.235724963247776,57.64195,ANE-ANW,"[4,6)",eDNA27__eDNA6,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.267127359189494,0.00122903780888473,0.640066500415628,0.35993349958437204,0.732872640810506
eDNA28,eDNA6,-2.00162044467661,1,Homogeneous Selection,eDNA28,eDNA6,0.5185330349807802,ANE,21.50245673954487,-7.874533,ANW,24.7383953332901,-69.329683,0.4814669650192198,3.2359385937452316,61.45515,ANE-ANW,"[2,4)",eDNA28__eDNA6,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.250508153488812,7.4735072855902e-4,0.645286267757211,0.354713732242789,0.7494918465111879
eDNA3,eDNA6,-2.33587822928246,0.65,Homogeneous Selection,eDNA3,eDNA6,0.20004572664586548,ANW,26.101474039256573,-75.508383,ANW,24.7383953332901,-69.329683,0.7999542733541345,1.3630787059664726,6.178699999999992,ANW-ANW,"[1,2)",eDNA3__eDNA6,0,0,0.10204081632653061,0.16326530612244897,NA,NA,85.25,101.75,0.06632653061224489,0.16326530612244897,TRUE,85.25,2,0.0614024100620991,9.6540850991844e-4,0.460999123575811,0.5390008764241889,0.9385975899379009
eDNA4,eDNA6,-3.75235271216313,0.85,Homogeneous Selection,eDNA4,eDNA6,0.13264405834738285,ANW,27.20014037936926,-74.85995,ANW,24.7383953332901,-69.329683,0.8673559416526172,2.461745046079159,5.530266999999995,ANW-ANW,"[2,4)",eDNA4__eDNA6,0,0,0.061224489795918366,0.14285714285714285,NA,NA,146,100.25,0.05102040816326531,0.14285714285714285,TRUE,100.25,2,0.0552836059221394,6.7959751329616e-4,0.476213358962037,0.523786641037963,0.9447163940778606
eDNA1,eDNA7,-2.23381980910041,1,Homogeneous Selection,eDNA1,eDNA7,0.4082372533417109,ANW,26.81560716032982,-77.936917,ANW,24.250587478280067,-67.287833,0.5917627466582891,2.5650196820497513,10.649083999999988,ANW-ANW,"[2,4)",eDNA1__eDNA7,0,0,0.02040816326530612,0.04081632653061224,NA,NA,261.5,145.25,0.015306122448979591,0.04081632653061224,TRUE,145.25,2,0.343369786820824,0.00542726161286589,0.676994577846631,0.323005422153369,0.656630213179176
eDNA18,eDNA7,-2.85326177164069,0.89,Homogeneous Selection,eDNA18,eDNA7,0.5881525188360879,ANC,21.02490310370922,-34.595667,ANW,24.250587478280067,-67.287833,0.4118474811639121,3.2256843745708466,32.69216600000001,ANC-ANW,"[2,4)",eDNA18__eDNA7,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.26164318259461,4.0857407804317e-4,0.654582074521652,0.34541792547834804,0.73835681740539
eDNA19,eDNA7,-2.85637894662269,0.99,Homogeneous Selection,eDNA19,eDNA7,0.5793794626057042,ANC,20.126926481723785,-32.055683,ANW,24.250587478280067,-67.287833,0.42062053739429583,4.123660996556282,35.232150000000004,ANC-ANW,"[4,6)",eDNA19__eDNA7,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.282071278279249,8.5775301634061e-4,0.693525850023288,0.30647414997671196,0.7179287217207511
eDNA25,eDNA7,-2.29532059967869,0.94,Homogeneous Selection,eDNA25,eDNA7,0.5452163610785562,ANE,19.737266153097153,-17.887783,ANW,24.250587478280067,-67.287833,0.4547836389214438,4.513321325182915,49.40005000000001,ANE-ANW,"[4,6)",eDNA25__eDNA7,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.259752748849449,2.2020607582073e-4,0.642927794263106,0.357072205736894,0.740247251150551
eDNA26,eDNA7,-2.37974953249464,0.9,Homogeneous Selection,eDNA26,eDNA7,0.5469087080846567,ANE,20.25656910985708,-14.5402,ANW,24.250587478280067,-67.287833,0.45309129191534325,3.9940183684229886,52.74763300000001,ANE-ANW,"[2,4)",eDNA26__eDNA7,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.261029336424639,4.5630477400404e-4,0.648770697441044,0.351229302558956,0.738970663575361
eDNA27,eDNA7,-2.14100272953173,1,Homogeneous Selection,eDNA27,eDNA7,0.5115092185592442,ANE,20.502670370042324,-11.687733,ANW,24.250587478280067,-67.287833,0.48849078144075575,3.7479171082377434,55.600100000000005,ANE-ANW,"[2,4)",eDNA27__eDNA7,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.261553964189315,0.00104206254066008,0.641451683428072,0.358548316571928,0.738446035810685
eDNA28,eDNA7,-2.39462863752456,0.99,Homogeneous Selection,eDNA28,eDNA7,0.5181509753379436,ANE,21.50245673954487,-7.874533,ANW,24.250587478280067,-67.287833,0.4818490246620564,2.748130738735199,59.41330000000001,ANE-ANW,"[2,4)",eDNA28__eDNA7,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.235606230853776,7.7166253209826e-4,0.622504537205082,0.37749546279491797,0.764393769146224
eDNA3,eDNA7,-2.53720414681349,-0.6,Homogeneous Selection,eDNA3,eDNA7,0.07510007939863782,ANW,26.101474039256573,-75.508383,ANW,24.250587478280067,-67.287833,0.9248999206013622,1.8508865609765053,8.220549999999989,ANW-ANW,"[1,2)",eDNA3__eDNA7,0,0,0.12244897959183673,0.061224489795918366,NA,NA,78,120.5,0.04591836734693877,0.12244897959183673,TRUE,78,2,0.0287785991125146,4.8961349354859e-4,0.342579750346741,0.6574202496532591,0.9712214008874854
eDNA4,eDNA7,-2.58256873874637,-0.3,Homogeneous Selection,eDNA4,eDNA7,0.04378862872961666,ANW,27.20014037936926,-74.85995,ANW,24.250587478280067,-67.287833,0.9562113712703834,2.949552901089191,7.572116999999992,ANW-ANW,"[2,4)",eDNA4__eDNA7,0,0,0.16326530612244897,0.10204081632653061,NA,NA,68.25,99.5,0.06632653061224489,0.16326530612244897,TRUE,68.25,2,0.0378190050699897,3.5377013047099e-4,0.363914373088685,0.636085626911315,0.9621809949300103
