"sample_1","sample_2","tina_dist","pina_dist","geo_km","bray"
"eDNA3","eDNA27",0.295743208703355,0.000657924276047051,5853.74927378735,0.684863523573201
"eDNA4","eDNA27",0.313875520474054,0.000852121149888641,5773.13925577004,0.694181326116374
"eDNA6","eDNA27",0.267127359189494,0.00122903780888473,5264.9836615059,0.640066500415628
"eDNA7","eDNA27",0.261553964189315,0.00104206254066008,5082.70256417924,0.641451683428072
"eDNA9","eDNA27",0.234818288702498,0.000664030674224492,4620.22574892785,0.633814102564103
"eDNA15","eDNA27",0.10785277786558,0.00062199065567714,2940.08521931975,0.529249193919853
"eDNA16","eDNA27",0.0921489942940034,0.00295419140404463,2628.22194388417,0.510556621880998
"eDNA17","eDNA27",0.0814978175718059,0.00493247774311556,2314.52500767954,0.538227848101266
"eDNA3","eDNA28",0.270358229110101,0.000649096793388315,6190.28184813587,0.654817987152034
"eDNA4","eDNA28",0.29693033994617,0.00108281789449727,6109.2985239977,0.690721649484536
"eDNA6","eDNA28",0.250508153488812,0.000747350728559026,5603.07626150991,0.645286267757211
"eDNA7","eDNA28",0.235606230853776,0.000771662532098261,5421.57967961883,0.622504537205082
"eDNA9","eDNA28",0.209776320266267,0.000302755691489964,4960.79615096276,0.607128056361376
"eDNA15","eDNA28",0.0831475355214139,0.000417978249154904,3282.81828634792,0.49904214559387
"eDNA16","eDNA28",0.0736902411671143,0.00311929596328009,2971.15214265701,0.519240379810095
"eDNA17","eDNA28",0.0612085044122505,0.00511662672737212,2657.20638044938,0.501057082452431
"eDNA4","eDNA3",0.0333104439027413,0.000817450492781702,85.5490539399376,0.365504061156235
"eDNA6","eDNA3",0.0614024100620991,0.000965408509918442,600.722389576959,0.460999123575811
"eDNA7","eDNA3",0.0287785991125146,0.000489613493548591,792.887781604549,0.342579750346741
"eDNA9","eDNA3",0.0657351565743928,0.00109285970315054,1280.1674126451,0.425801011804385
"eDNA15","eDNA3",0.145316229218281,0.000903138135679771,2967.69697087372,0.53981436248168
"eDNA16","eDNA3",0.163264584185359,0.00216507729390203,3277.95847165319,0.564285714285714
"eDNA17","eDNA3",0.204977018904484,0.00303742870130264,3573.61525933767,0.606699081577526
"eDNA6","eDNA4",0.0552836059221394,0.00067959751329616,528.775063731118,0.476213358962037
"eDNA7","eDNA4",0.0378190050699897,0.000353770130470998,721.981434504829,0.363914373088685
"eDNA9","eDNA4",0.0859905140694751,0.00115903080115243,1209.86711703892,0.508060801473975
"eDNA15","eDNA4",0.173019607838293,0.000719375435288327,2892.25474324476,0.568797399783315
"eDNA16","eDNA4",0.193170329195874,0.00112947360323701,3201.86216599493,0.588402501421262
"eDNA17","eDNA4",0.239253484475406,0.00263168809902492,3496.18684196005,0.615757575757576
"eDNA7","eDNA6",0.0319907627170091,0.00029482697121952,193.349696725295,0.353788935378894
"eDNA9","eDNA6",0.0616086893281559,0.000505004372252094,681.159296585301,0.433050847457627
"eDNA15","eDNA6",0.151251330734902,0.000858868114623546,2367.80596651975,0.563636363636364
"eDNA16","eDNA6",0.168956407217235,0.00231365107822457,2678.66812696317,0.575975359342916
"eDNA17","eDNA6",0.21423138221756,0.00384762688183016,2976.24894403295,0.635671560630778
"eDNA9","eDNA7",0.0307379691029211,0.000814144302635933,487.885686666347,0.325301204819277
"eDNA15","eDNA7",0.108939583343603,0.000575321430245745,2178.06328685717,0.460334029227557
"eDNA16","eDNA7",0.126417336575488,0.00132035638995687,2489.58122544389,0.484964461454347
"eDNA17","eDNA7",0.168600431539462,0.00253766724964399,2788.90430695159,0.543023255813953
"eDNA15","eDNA9",0.103694760368815,0.000586917704570977,1698.96421492356,0.487058823529412
"eDNA16","eDNA9",0.118507233803066,0.0036945783530492,2011.89541891744,0.518155053974485
"eDNA17","eDNA9",0.157340300447541,0.00594883463285611,2315.660561807,0.573872472783826
"eDNA16","eDNA15",0.00453334668975691,0.00209664951512079,313.757916231027,0.221249270286048
"eDNA17","eDNA15",0.0167190227250205,0.00439667888395612,625.634955235497,0.337905236907731
"eDNA17","eDNA16",0.0076272446795953,0.000874019313859886,316.227599165857,0.277521423862887
